boilerSize,radiatorType,radiator,toilet,toileType,washbasin,washbasinType,bathhub,bathhubType,showerCabin,showerCabinType,Bidet,BidetType,waterHeater,waterHeaterType,sinkTypeQuality,sinkCategorie,cost,time
big,GLOBAL_ISEO_350,6,1,Basic-Ceramic,2,Countertop,0,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,high,double,897643,43
medium,Helyos_Evo,12,2,One-Piece,2,Countertop,2,Standard,1,Basic_Enclosure,2,Bidet-Ceramic,0,Electric-50liters,high,double,660935,64
big,Primavera_H500,5,0,Wall-Hung,0,Wall-Mounted,1,Luxury,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,Electric-30liters,poor,double,487361,31
medium,GLOBAL_ISEO_350,1,0,Wall-Hung,2,Wall-Mounted,0,Luxury,0,Basic_Enclosure,2,Bidet-Ceramic,0,Electric-50liters,poor,single,184607,11
medium,Primavera_H500,7,2,Basic-Ceramic,2,Wall-Mounted,1,Standard,1,Basic_Enclosure,0,Wall-Hung,2,GAS-6liters,poor,single,476131,36
big,Helyos_Evo,11,0,One-Piece,3,Countertop,2,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-6liters,high,single,762268,68
big,GLOBAL_ISEO_350,15,3,One-Piece,3,Countertop,2,Standard,1,Luxury_Enclosure,2,Wall-Hung,2,Electric-50liters,poor,double,2139899,87
small,Primavera_H500,9,2,Wall-Hung,1,Countertop,0,Luxury,1,Luxury_Enclosure,2,Wall-Hung,1,GAS-6liters,high,double,679909,40
small,Primavera_H500,12,2,One-Piece,0,Wall-Mounted,1,Luxury,0,Basic_Enclosure,1,Bidet-Ceramic,0,GAS-11liters,poor,double,579903,53
small,COPA_Aluminium,13,1,Wall-Hung,0,Countertop,2,Luxury,0,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,574324,55
big,FONDITAL_ARDENTE_C2,4,1,Wall-Hung,2,Wall-Mounted,1,Luxury,0,Luxury_Enclosure,1,Bidet-Ceramic,2,Electric-50liters,high,single,350723,36
medium,COPA_Aluminium,14,0,Wall-Hung,3,Wall-Mounted,2,Standard,0,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,GAS-6liters,poor,double,473800,57
big,Primavera_H500,2,1,Basic-Ceramic,1,Pedestal,2,Standard,1,Luxury_Enclosure,2,Wall-Hung,2,GAS-6liters,poor,single,400398,37
big,COPA_Aluminium,7,0,Wall-Hung,2,Pedestal,1,Luxury,2,Basic_Enclosure,1,Bidet-Mixer-Tap,2,Electric-50liters,poor,double,583607,50
big,Sira_Alice_Royal,10,3,Wall-Hung,3,Pedestal,1,Standard,2,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,poor,single,677314,67
big,Sira_Alice_Royal,1,2,One-Piece,3,Pedestal,1,Standard,1,Luxury_Enclosure,0,Wall-Hung,0,GAS-6liters,poor,double,320063,26
big,Primavera_H500,4,0,Basic-Ceramic,2,Pedestal,2,Luxury,0,Basic_Enclosure,1,Bidet-Mixer-Tap,2,Electric-30liters,poor,single,403382,31
small,FONDITAL_ARDENTE_C2,7,3,One-Piece,2,Wall-Mounted,1,Standard,0,Basic_Enclosure,0,Bidet-Ceramic,1,Electric-30liters,high,single,385729,28
medium,Primavera_H500,1,3,Wall-Hung,3,Countertop,0,Luxury,0,Luxury_Enclosure,2,Wall-Hung,2,Electric-50liters,poor,single,407885,35
big,Helyos_Evo,4,3,Basic-Ceramic,2,Pedestal,1,Standard,1,Basic_Enclosure,0,Wall-Hung,2,Electric-50liters,poor,double,409167,39
big,COPA_Aluminium,1,2,Wall-Hung,3,Wall-Mounted,1,Luxury,0,Basic_Enclosure,1,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,294861,29
small,Helyos_Evo,13,0,Basic-Ceramic,0,Wall-Mounted,0,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,poor,double,537927,51
small,FONDITAL_ARDENTE_C2,4,3,Wall-Hung,3,Wall-Mounted,1,Luxury,0,Basic_Enclosure,0,Bidet-Mixer-Tap,2,Electric-30liters,high,single,488807,36
small,GLOBAL_ISEO_350,11,0,Basic-Ceramic,3,Wall-Mounted,2,Standard,0,Luxury_Enclosure,1,Wall-Hung,2,GAS-11liters,poor,single,1415286,48
big,Primavera_H500,4,1,Wall-Hung,3,Pedestal,2,Standard,2,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,546944,49
small,GLOBAL_ISEO_350,7,1,One-Piece,1,Countertop,1,Standard,0,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,high,double,918464,28
medium,Samochauf_SAHD,0,1,One-Piece,1,Countertop,0,Standard,2,Luxury_Enclosure,2,Bidet-Ceramic,0,Electric-50liters,poor,single,309243,23
small,Samochauf_SAHD,7,1,Basic-Ceramic,2,Countertop,0,Standard,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,377504,37
medium,Helyos_Evo,14,1,One-Piece,1,Countertop,1,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,0,GAS-6liters,high,double,600441,50
small,Samochauf_SAHD,13,3,Basic-Ceramic,0,Pedestal,0,Standard,2,Basic_Enclosure,2,Wall-Hung,1,Electric-50liters,high,single,604149,60
medium,FONDITAL_ARDENTE_C2,16,1,Wall-Hung,0,Pedestal,2,Luxury,0,Luxury_Enclosure,1,Wall-Hung,1,GAS-6liters,high,single,742942,65
medium,Helyos_Evo,13,0,One-Piece,0,Pedestal,1,Standard,0,Basic_Enclosure,0,Bidet-Ceramic,0,Electric-30liters,high,double,468579,48
big,Helyos_Evo,7,0,Wall-Hung,1,Countertop,2,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,Electric-50liters,high,single,604068,41
big,GLOBAL_ISEO_350,3,2,One-Piece,3,Countertop,1,Luxury,2,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-30liters,poor,double,832550,48
medium,COPA_Aluminium,8,0,Basic-Ceramic,2,Pedestal,0,Standard,1,Basic_Enclosure,1,Wall-Hung,1,Electric-30liters,poor,single,307817,31
small,COPA_Aluminium,0,3,Wall-Hung,2,Pedestal,0,Luxury,2,Luxury_Enclosure,0,Bidet-Ceramic,1,Electric-50liters,high,single,504168,36
big,GLOBAL_ISEO_350,13,2,Wall-Hung,2,Pedestal,1,Luxury,2,Basic_Enclosure,0,Wall-Hung,1,Electric-50liters,poor,double,1782074,53
big,Sira_Alice_Royal,13,2,Basic-Ceramic,0,Wall-Mounted,1,Standard,2,Luxury_Enclosure,2,Wall-Hung,1,Electric-30liters,high,double,832778,72
medium,Sira_Alice_Royal,2,3,One-Piece,3,Pedestal,1,Standard,0,Luxury_Enclosure,1,Wall-Hung,2,Electric-50liters,high,double,381901,40
big,FONDITAL_ARDENTE_C2,4,3,Basic-Ceramic,1,Countertop,1,Luxury,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,Electric-50liters,high,single,439864,38
medium,Sira_Alice_Royal,3,0,One-Piece,0,Pedestal,1,Standard,2,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,489667,37
small,Sira_Alice_Royal,12,0,Wall-Hung,0,Pedestal,0,Luxury,2,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-11liters,poor,double,631509,57
big,Helyos_Evo,13,3,One-Piece,2,Countertop,1,Luxury,0,Luxury_Enclosure,2,Wall-Hung,0,Electric-50liters,high,double,664390,52
small,Sira_Alice_Royal,5,0,Wall-Hung,0,Countertop,1,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-6liters,high,double,349305,34
big,Samochauf_SAHD,5,3,One-Piece,0,Pedestal,0,Standard,2,Luxury_Enclosure,1,Wall-Hung,2,GAS-6liters,poor,double,580323,49
medium,COPA_Aluminium,13,2,One-Piece,0,Wall-Mounted,0,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,2,Electric-30liters,high,single,511360,56
big,COPA_Aluminium,1,2,Wall-Hung,3,Countertop,2,Luxury,1,Basic_Enclosure,2,Bidet-Ceramic,0,GAS-6liters,poor,double,488078,43
small,Helyos_Evo,0,1,Basic-Ceramic,1,Wall-Mounted,0,Standard,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,0,GAS-11liters,high,single,202977,14
big,Samochauf_SAHD,6,3,Wall-Hung,1,Countertop,0,Luxury,0,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,GAS-11liters,poor,single,332534,27
big,Sira_Alice_Royal,16,1,One-Piece,3,Wall-Mounted,0,Luxury,0,Luxury_Enclosure,0,Wall-Hung,2,GAS-6liters,poor,double,663847,60
medium,Primavera_H500,14,0,Wall-Hung,1,Countertop,0,Standard,2,Luxury_Enclosure,0,Bidet-Ceramic,1,GAS-11liters,high,single,833776,67
medium,GLOBAL_ISEO_350,1,3,Basic-Ceramic,2,Pedestal,2,Standard,0,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,high,double,293855,20
big,COPA_Aluminium,0,2,Basic-Ceramic,2,Wall-Mounted,1,Standard,1,Luxury_Enclosure,2,Wall-Hung,1,GAS-11liters,poor,single,338960,31
small,GLOBAL_ISEO_350,9,1,Basic-Ceramic,2,Countertop,0,Standard,0,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,poor,single,1120197,38
big,Samochauf_SAHD,1,1,Wall-Hung,0,Wall-Mounted,1,Standard,1,Luxury_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,high,double,276531,19
big,Samochauf_SAHD,12,3,Basic-Ceramic,1,Pedestal,0,Standard,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,491745,43
big,Helyos_Evo,5,1,Wall-Hung,1,Wall-Mounted,2,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-30liters,poor,single,410861,35
medium,FONDITAL_ARDENTE_C2,12,1,One-Piece,2,Countertop,0,Luxury,2,Basic_Enclosure,0,Wall-Hung,2,GAS-6liters,high,single,625275,51
small,Primavera_H500,12,0,One-Piece,1,Pedestal,2,Standard,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,Electric-50liters,high,single,733264,59
medium,Primavera_H500,1,1,One-Piece,3,Wall-Mounted,1,Luxury,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,high,double,431855,32
small,Samochauf_SAHD,5,1,Basic-Ceramic,0,Countertop,0,Standard,0,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-30liters,poor,double,227138,24
big,GLOBAL_ISEO_350,5,3,Basic-Ceramic,1,Countertop,1,Standard,1,Basic_Enclosure,2,Bidet-Ceramic,1,Electric-50liters,poor,double,815310,34
medium,GLOBAL_ISEO_350,5,3,One-Piece,2,Countertop,0,Luxury,1,Luxury_Enclosure,1,Wall-Hung,2,GAS-6liters,poor,double,927711,48
big,GLOBAL_ISEO_350,13,3,Basic-Ceramic,2,Wall-Mounted,2,Luxury,1,Luxury_Enclosure,2,Wall-Hung,1,GAS-11liters,high,double,1809438,62
medium,Primavera_H500,4,2,Wall-Hung,1,Wall-Mounted,0,Standard,0,Luxury_Enclosure,0,Wall-Hung,0,Electric-30liters,high,double,271658,20
medium,Sira_Alice_Royal,7,3,Basic-Ceramic,2,Wall-Mounted,0,Standard,2,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,GAS-6liters,poor,double,584263,43
big,Primavera_H500,3,3,Wall-Hung,2,Wall-Mounted,1,Standard,2,Basic_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,poor,double,559474,43
small,COPA_Aluminium,14,2,Wall-Hung,1,Pedestal,0,Luxury,0,Luxury_Enclosure,1,Wall-Hung,2,GAS-11liters,high,single,515454,64
small,Helyos_Evo,16,2,Wall-Hung,3,Pedestal,1,Standard,1,Luxury_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,high,double,821148,83
big,Primavera_H500,14,0,One-Piece,1,Countertop,1,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,650682,41
medium,Sira_Alice_Royal,8,2,Wall-Hung,3,Wall-Mounted,2,Standard,2,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,Electric-30liters,high,single,818929,58
small,Sira_Alice_Royal,13,0,One-Piece,1,Pedestal,1,Standard,1,Luxury_Enclosure,1,Bidet-Ceramic,2,GAS-6liters,poor,double,692907,46
medium,Samochauf_SAHD,8,2,One-Piece,2,Wall-Mounted,0,Luxury,2,Luxury_Enclosure,0,Bidet-Ceramic,0,GAS-11liters,high,single,513036,54
small,Sira_Alice_Royal,12,0,Basic-Ceramic,2,Countertop,0,Luxury,1,Luxury_Enclosure,2,Bidet-Ceramic,0,Electric-50liters,high,single,606564,43
small,Helyos_Evo,9,0,One-Piece,3,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,1,GAS-6liters,high,single,515576,50
medium,Sira_Alice_Royal,2,3,One-Piece,1,Countertop,0,Luxury,1,Luxury_Enclosure,2,Wall-Hung,1,GAS-11liters,high,double,389100,30
small,COPA_Aluminium,16,3,One-Piece,3,Wall-Mounted,0,Luxury,2,Basic_Enclosure,2,Bidet-Ceramic,1,GAS-6liters,poor,double,723461,56
big,Primavera_H500,3,0,One-Piece,2,Pedestal,0,Luxury,2,Luxury_Enclosure,1,Wall-Hung,1,GAS-11liters,poor,double,490290,36
big,Samochauf_SAHD,13,1,Basic-Ceramic,2,Wall-Mounted,1,Luxury,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,Electric-50liters,high,single,828380,70
medium,FONDITAL_ARDENTE_C2,11,3,Basic-Ceramic,3,Countertop,1,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,GAS-11liters,high,double,662147,47
big,Helyos_Evo,13,3,Basic-Ceramic,2,Countertop,1,Standard,0,Luxury_Enclosure,0,Wall-Hung,1,GAS-6liters,poor,single,548233,45
medium,Samochauf_SAHD,13,0,Basic-Ceramic,2,Wall-Mounted,1,Standard,1,Basic_Enclosure,0,Bidet-Ceramic,1,Electric-30liters,poor,single,497216,40
small,Sira_Alice_Royal,6,0,Wall-Hung,0,Countertop,0,Standard,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,GAS-6liters,poor,double,312928,22
medium,GLOBAL_ISEO_350,7,3,Wall-Hung,1,Countertop,1,Standard,2,Basic_Enclosure,1,Wall-Hung,1,GAS-6liters,poor,single,1151681,39
small,FONDITAL_ARDENTE_C2,10,2,Wall-Hung,0,Wall-Mounted,2,Luxury,1,Luxury_Enclosure,0,Wall-Hung,2,Electric-50liters,high,single,772791,64
medium,Primavera_H500,15,0,One-Piece,1,Countertop,1,Standard,2,Luxury_Enclosure,0,Wall-Hung,2,Electric-30liters,poor,double,934424,57
big,GLOBAL_ISEO_350,6,1,Basic-Ceramic,2,Wall-Mounted,2,Luxury,2,Luxury_Enclosure,2,Bidet-Ceramic,2,GAS-6liters,high,double,1254889,66
medium,FONDITAL_ARDENTE_C2,14,1,Wall-Hung,1,Pedestal,2,Standard,0,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-30liters,poor,double,665904,50
big,COPA_Aluminium,8,0,Basic-Ceramic,3,Countertop,1,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,high,double,649331,47
small,Sira_Alice_Royal,16,0,Wall-Hung,3,Wall-Mounted,1,Standard,1,Luxury_Enclosure,1,Bidet-Ceramic,0,Electric-50liters,poor,double,697028,50
small,Samochauf_SAHD,11,0,Basic-Ceramic,2,Countertop,2,Standard,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,0,Electric-50liters,poor,double,560806,51
big,Sira_Alice_Royal,2,3,One-Piece,3,Wall-Mounted,0,Standard,0,Basic_Enclosure,0,Wall-Hung,0,Electric-30liters,high,single,192511,19
big,Sira_Alice_Royal,12,1,One-Piece,2,Pedestal,1,Luxury,0,Luxury_Enclosure,1,Wall-Hung,2,Electric-50liters,high,double,599188,44
big,COPA_Aluminium,2,3,Wall-Hung,2,Wall-Mounted,2,Standard,0,Basic_Enclosure,2,Bidet-Mixer-Tap,0,Electric-30liters,high,single,313324,22
big,COPA_Aluminium,16,2,Basic-Ceramic,2,Wall-Mounted,1,Standard,0,Basic_Enclosure,0,Wall-Hung,1,GAS-6liters,high,double,558673,66
big,Helyos_Evo,1,2,One-Piece,2,Countertop,0,Luxury,2,Basic_Enclosure,0,Bidet-Mixer-Tap,2,GAS-6liters,high,double,402197,37
big,GLOBAL_ISEO_350,7,2,Wall-Hung,2,Wall-Mounted,2,Standard,0,Basic_Enclosure,2,Wall-Hung,1,GAS-11liters,poor,double,1097965,44
medium,Primavera_H500,10,2,One-Piece,2,Countertop,1,Luxury,2,Basic_Enclosure,1,Bidet-Ceramic,0,GAS-6liters,high,double,756839,62
small,GLOBAL_ISEO_350,9,1,Wall-Hung,1,Wall-Mounted,2,Standard,0,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,poor,single,1168474,44
big,FONDITAL_ARDENTE_C2,4,2,One-Piece,0,Countertop,2,Luxury,0,Luxury_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,high,double,371255,28
big,GLOBAL_ISEO_350,6,2,Wall-Hung,2,Pedestal,1,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,GAS-11liters,poor,single,1162295,44
big,Helyos_Evo,1,3,One-Piece,0,Pedestal,0,Luxury,2,Basic_Enclosure,2,Bidet-Mixer-Tap,1,Electric-50liters,high,single,385627,29
big,Primavera_H500,12,0,Basic-Ceramic,0,Wall-Mounted,0,Standard,2,Luxury_Enclosure,2,Wall-Hung,2,GAS-6liters,poor,single,802196,60
medium,Samochauf_SAHD,7,0,Basic-Ceramic,0,Wall-Mounted,0,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,2,Electric-30liters,high,double,475998,43
big,Primavera_H500,3,0,One-Piece,2,Countertop,2,Luxury,2,Basic_Enclosure,1,Bidet-Ceramic,2,Electric-30liters,high,single,520161,34
medium,Primavera_H500,14,0,One-Piece,0,Wall-Mounted,2,Standard,0,Basic_Enclosure,0,Bidet-Ceramic,1,GAS-6liters,high,single,618025,42
medium,Primavera_H500,9,2,Wall-Hung,1,Wall-Mounted,1,Luxury,2,Basic_Enclosure,0,Wall-Hung,2,Electric-50liters,poor,double,791103,61
big,FONDITAL_ARDENTE_C2,0,0,Wall-Hung,1,Countertop,2,Luxury,1,Basic_Enclosure,2,Wall-Hung,2,Electric-50liters,poor,double,430298,32
medium,COPA_Aluminium,4,2,Wall-Hung,2,Pedestal,1,Standard,2,Basic_Enclosure,2,Wall-Hung,2,Electric-50liters,high,single,521509,52
small,GLOBAL_ISEO_350,13,2,Wall-Hung,1,Countertop,1,Standard,1,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,1684383,63
big,FONDITAL_ARDENTE_C2,0,0,One-Piece,1,Wall-Mounted,0,Standard,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,high,single,223992,12
medium,COPA_Aluminium,16,2,One-Piece,1,Countertop,0,Luxury,0,Basic_Enclosure,0,Bidet-Ceramic,0,Electric-50liters,poor,double,447391,61
medium,Primavera_H500,9,1,Basic-Ceramic,2,Wall-Mounted,1,Luxury,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-11liters,high,double,687210,46
big,COPA_Aluminium,16,1,Wall-Hung,3,Countertop,2,Luxury,2,Basic_Enclosure,1,Bidet-Ceramic,2,Electric-30liters,poor,double,910202,89
big,Sira_Alice_Royal,6,0,One-Piece,0,Pedestal,0,Standard,1,Luxury_Enclosure,2,Wall-Hung,0,GAS-6liters,high,single,370128,25
small,Helyos_Evo,10,0,Wall-Hung,2,Wall-Mounted,0,Luxury,0,Basic_Enclosure,2,Wall-Hung,2,Electric-50liters,poor,double,442926,34
big,Sira_Alice_Royal,6,1,Wall-Hung,1,Pedestal,1,Standard,0,Luxury_Enclosure,1,Wall-Hung,0,Electric-30liters,poor,single,306366,28
small,FONDITAL_ARDENTE_C2,1,1,One-Piece,2,Pedestal,0,Luxury,1,Luxury_Enclosure,0,Bidet-Ceramic,0,GAS-11liters,poor,single,190211,13
medium,COPA_Aluminium,5,3,Basic-Ceramic,1,Countertop,2,Luxury,0,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,high,single,417623,39
small,COPA_Aluminium,16,1,One-Piece,3,Pedestal,0,Standard,2,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,GAS-6liters,high,single,756675,51
small,FONDITAL_ARDENTE_C2,9,3,One-Piece,2,Pedestal,1,Luxury,1,Basic_Enclosure,1,Bidet-Mixer-Tap,0,GAS-11liters,poor,single,564462,44
small,GLOBAL_ISEO_350,4,3,One-Piece,2,Wall-Mounted,1,Luxury,0,Basic_Enclosure,1,Wall-Hung,1,GAS-6liters,poor,double,695490,35
big,GLOBAL_ISEO_350,9,1,One-Piece,3,Pedestal,1,Luxury,2,Basic_Enclosure,2,Bidet-Ceramic,0,Electric-50liters,poor,single,1262850,44
medium,Helyos_Evo,13,3,Basic-Ceramic,1,Pedestal,0,Standard,1,Basic_Enclosure,2,Wall-Hung,1,GAS-11liters,high,double,587489,62
small,Primavera_H500,5,2,One-Piece,2,Countertop,0,Standard,1,Luxury_Enclosure,0,Wall-Hung,2,Electric-30liters,high,double,468073,33
small,Sira_Alice_Royal,12,2,Wall-Hung,2,Wall-Mounted,0,Standard,2,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,poor,single,660331,59
small,Primavera_H500,10,0,One-Piece,3,Pedestal,1,Luxury,1,Luxury_Enclosure,1,Wall-Hung,1,GAS-11liters,poor,single,666635,57
small,FONDITAL_ARDENTE_C2,2,1,Wall-Hung,1,Wall-Mounted,2,Standard,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,GAS-11liters,high,single,438478,33
big,GLOBAL_ISEO_350,2,1,Basic-Ceramic,0,Pedestal,2,Standard,2,Basic_Enclosure,0,Bidet-Ceramic,2,Electric-50liters,poor,double,588066,29
big,FONDITAL_ARDENTE_C2,11,1,One-Piece,3,Wall-Mounted,1,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,2,Electric-50liters,poor,single,604862,54
medium,Samochauf_SAHD,1,3,Basic-Ceramic,0,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,0,GAS-11liters,poor,double,326724,20
medium,Samochauf_SAHD,4,1,One-Piece,2,Countertop,2,Luxury,0,Luxury_Enclosure,0,Bidet-Ceramic,0,GAS-6liters,poor,double,392459,32
small,Samochauf_SAHD,8,2,Wall-Hung,3,Wall-Mounted,2,Standard,0,Luxury_Enclosure,1,Wall-Hung,2,GAS-6liters,poor,double,482203,47
big,GLOBAL_ISEO_350,0,2,Wall-Hung,0,Wall-Mounted,1,Standard,0,Luxury_Enclosure,0,Wall-Hung,1,GAS-11liters,high,double,223810,19
small,Sira_Alice_Royal,4,3,Basic-Ceramic,2,Pedestal,0,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,poor,single,405823,32
medium,COPA_Aluminium,4,3,Wall-Hung,3,Pedestal,2,Standard,2,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,GAS-11liters,poor,single,550183,45
medium,GLOBAL_ISEO_350,13,3,Wall-Hung,2,Pedestal,0,Luxury,0,Basic_Enclosure,2,Bidet-Mixer-Tap,0,Electric-30liters,poor,single,1577415,41
medium,Primavera_H500,3,3,Basic-Ceramic,3,Wall-Mounted,0,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,Electric-30liters,high,double,544384,42
medium,Samochauf_SAHD,14,3,Basic-Ceramic,1,Pedestal,1,Luxury,0,Basic_Enclosure,0,Wall-Hung,2,Electric-50liters,poor,double,601441,50
medium,Primavera_H500,1,0,Wall-Hung,3,Countertop,2,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,2,GAS-6liters,high,single,417922,32
medium,Primavera_H500,16,1,One-Piece,2,Pedestal,2,Luxury,1,Luxury_Enclosure,2,Wall-Hung,1,GAS-6liters,high,single,914881,77
medium,GLOBAL_ISEO_350,16,0,Basic-Ceramic,3,Pedestal,0,Standard,2,Luxury_Enclosure,2,Bidet-Ceramic,0,GAS-11liters,poor,single,2042173,69
medium,Samochauf_SAHD,7,3,Basic-Ceramic,2,Wall-Mounted,2,Standard,1,Luxury_Enclosure,1,Wall-Hung,0,GAS-11liters,poor,single,454618,42
medium,Primavera_H500,8,1,One-Piece,2,Wall-Mounted,2,Luxury,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,poor,single,727282,57
